disease_accession:ID(Disease),disease_id,disease_acronym,disease_description,disease_xref_db,disease_xref_id,association_source,:LABEL
SYN:the-silver-coat-color-which-seems-to-be-due-to-premature-death-of-pigment-cells-,the silver coat color which seems to be due to premature death of pigment cells during the hair cycle,,Defects in Silver mutants are the cause of the silver coat color which seems to be due to premature death of pigment cells during the hair cycle,,,UniProt,Disease
SYN:the-autosomal-recessive-reeler-rl-phenotype-which-is-characterized-by-impaired-m,"the autosomal recessive reeler (rl) phenotype which is characterized by impaired motor coordination, tremors and ataxia",,"Defects in Reln are the cause of the autosomal recessive reeler (rl) phenotype which is characterized by impaired motor coordination, tremors and ataxia. Neurons in affected mice fail to reach their correct locations in the developing brain, disrupting the organization of the cerebellar and cerebral cortices and other laminated regions",,,UniProt,Disease
SYN:glutathionuria-severe-growth-failure-reduced-life-spans-and-infertility,"glutathionuria, severe growth failure, reduced life spans and infertility",,"Defects in Ggt1 are a cause of glutathionuria, severe growth failure, reduced life spans and infertility. Ggt1-deficient mice have multiple metabolic abnormalities and are dwarf. Some abnormalities can be ameliorated by N-acetylcysteine treatment",,,UniProt,Disease
SYN:meis1-serves-as-a-site-of-viral-integration-in-15-of-the-tumors-arising-in-bxh-2,Meis1 serves as a site of viral integration in 15% of the tumors arising in BXH-2 mice that develop myeloid leukemia as a result of the expression of an ecotropic murine leukemia virus,,Meis1 serves as a site of viral integration in 15% of the tumors arising in BXH-2 mice that develop myeloid leukemia as a result of the expression of an ecotropic murine leukemia virus,,,UniProt,Disease
SYN:slow-wave-epilepsy-swe-phenotype-pubmed-9335342,slow-wave epilepsy (swe) phenotype (PubMed:9335342),,"Defects in Slc9a1 is the cause of slow-wave epilepsy (swe) phenotype (PubMed:9335342). Mutant mice display slow-wave epilepsy, with a neurological syndrome including ataxia and a unique epilepsy phenotype consisting of 3/sec absence and tonic-clonic seizures. Mutants show selective neuronal death in the cerebellum and brainstem. Mice display also several other significant abnormalities in growth and development, and less than half of the mutant homozygous animals survived to weaning. Most died by 35-40 days (PubMed:9335342)",,,UniProt,Disease
SYN:skeletal-defects-caused-by-abnormalities-in-the-cartilage-of-limbs-ribs-mandible,"skeletal defects caused by abnormalities in the cartilage of limbs, ribs, mandibles and trachea",,"Defects in Col11a1 are associated with chondrodysplasia, an autosomal recessive disease characterized by skeletal defects caused by abnormalities in the cartilage of limbs, ribs, mandibles and trachea",,,UniProt,Disease
SYN:cartilage-matrix-deficiency-cmd,cartilage matrix deficiency (CMD),,"Defects in Acan are the cause of cartilage matrix deficiency (CMD). CMD is an autosomal recessive syndrome characterized by cleft palate, short limbs, tail and snout. Mutation in strain CMD causes absence of aggrecan by truncation of the protein (mutation in the G1 domain)",,,UniProt,Disease
SYN:recessive-bilateral-polycystic-kidney-disease-pkd-with-collecting-duct-and-tubul,"recessive bilateral polycystic kidney disease (PKD) with collecting duct and tubule ectasia, and a liver lesion involving biliary dysplasia and/or portal fibrosis",,"Defects in Ift88 are the cause of recessive bilateral polycystic kidney disease (PKD) with collecting duct and tubule ectasia, and a liver lesion involving biliary dysplasia and/or portal fibrosis",,,UniProt,Disease
SYN:ocular-retardation-or-j-a-mouse-disease-characterized-by-microphthalmia-progress,"ocular retardation (OR(J)), a mouse disease characterized by microphthalmia, progressive destruction of the retina, and absence of the optic nerve",,"Defects in Vsx2 are the cause of ocular retardation (OR(J)), a mouse disease characterized by microphthalmia, progressive destruction of the retina, and absence of the optic nerve. The OR(J) mutation is due to an OCHR (STOP) mutation",,,UniProt,Disease
SYN:the-nude-severe-combined-immunodeficiency-scid-phenotype-which-is-characterized-,the nude/severe combined immunodeficiency (SCID) phenotype which is characterized by athymia and hairlessness,,"Defects in FOXN1 are the cause of the nude/severe combined immunodeficiency (SCID) phenotype which is characterized by athymia and hairlessness. Mice develop largely normal hair follicles and produce hair shafts. However, presumably because of a lack of certain hair keratins, the hair shafts that are generated twist and coil in the hair follicle infundibulum, which becomes dilated. Since hair shafts fail to penetrate the epidermis, macroscopic nudity results and generates the grossly misleading impression that nude mice are hairless",,,UniProt,Disease
SYN:several-mutations-result-in-developmental-defects-of-cranofacial-and-limb-struct,Several mutations result in developmental defects of cranofacial and limb structures,,Several mutations result in developmental defects of cranofacial and limb structures. In particular the add (anterior digit-pattern deformity) and pdn (polydactyly Nagoya) alleles,,,UniProt,Disease
SYN:the-lurcher-phenotype,the Lurcher phenotype,,Defects in Grid2 are the cause of the Lurcher phenotype. Heterozygous animals display a characteristic swaying of the hind quarters and jerky up and down movements following cerebellar Purkinje cell degeneration during postnatal development. Homozygous animals die shortly after birth because of a massive loss of midbrain and hindbrain neurons during late embryogenesis,,,UniProt,Disease
SYN:a-number-of-pleiotropic-effects-including-structural-abnormalities-of-epithelial,"a number of pleiotropic effects including structural abnormalities of epithelial cells in the hair follicles, hair loss towards the end of the first hair growth cycle, and the failure of subsequent ha",,"Defects in Hr are the cause of a number of pleiotropic effects including structural abnormalities of epithelial cells in the hair follicles, hair loss towards the end of the first hair growth cycle, and the failure of subsequent hair growth cycles. Older mice carrying a hr mutation have been reported to possess altered ratios of T-cell-dependent B-cell responses. Mice homozygous for hr mutation are uniquely sensitive to UV and chemically induced skin tumors",,,UniProt,Disease
SYN:decreases-benign-tumor-development-and-malignant-progression,Decreases benign tumor development and malignant progression,,Decreases benign tumor development and malignant progression,,,UniProt,Disease
SYN:aly-alymphoplasia-an-autosomal-recessive-mutation-which-induces-total-aplasia-of,"aly alymphoplasia, an autosomal recessive mutation which induces total aplasia of lymph nodes and Peyer patches",,"Absence of Madcam1 in the spleen has been found in aly/aly mice, but normal expression is found in intestinal venules. This aberrant expression is a secondary defect and not the direct cause of aly alymphoplasia, an autosomal recessive mutation which induces total aplasia of lymph nodes and Peyer patches",,,UniProt,Disease
SYN:hypopigmentation-of-the-eyes-skin-and-fur,"hypopigmentation of the eyes, skin, and fur",,"Defects in Oca2 are a cause of hypopigmentation of the eyes, skin, and fur. The protein is missing or altered in six independent mutant alleles of the OCA2 locus, suggesting that disruption of this gene results in hypopigmentation phenotype that defines mutant OCA2 alleles",,,UniProt,Disease
SYN:the-smallie-sli-phenotype,the smallie (sli) phenotype,,"Defects in Ddr2 are the cause of the smallie (sli) phenotype. Smallie mice show distinct dwarfing, with reduced body mass and reduced bone mineral content. Mice also have mild craniofacial deformities, such as protuberant eyes and snub noses. Smallie mice have a reduced life span, with about half of them dying within 6 months. Matings between male and female smallie mice do not yield any offspring. The levels of circulating steroid hormones remain at a level corresponding to prepubertal wild-type mice. Adult testes exhibit much reduced numbers of spermatids with atrophy of spermatogonia, Sertoli and Leydig cells. Ovaries show an absence of corpora lutea",,,UniProt,Disease
SYN:may-contribute-to-the-severity-of-spinal-muscular-atrophy-by-increasing-spinal-m,May contribute to the severity of spinal muscular atrophy by increasing spinal motor neurons degeneration,,May contribute to the severity of spinal muscular atrophy by increasing spinal motor neurons degeneration,,,UniProt,Disease
SYN:hypodactyly-hd-a-condition-characterized-by-profound-deficiency-of-digital-arch-,"hypodactyly (Hd), a condition characterized by profound deficiency of digital arch structures",,"Defects in Hoxa13 are the cause of hypodactyly (Hd), a condition characterized by profound deficiency of digital arch structures",,,UniProt,Disease
SYN:lethal-wasting-lew-phenotype-a-mice-mutant-strain,"lethal-wasting (lew) phenotype, a mice mutant strain",,"Defects in Vamp1 are the cause of lethal-wasting (lew) phenotype, a mice mutant strain. The lew mutant phenotype is inherited in an autosomal recessive manner and manifests with neurological signs. Lew animals are characterized by a general lack of movement and wasting, eventually leading to death before weaning. The affected animals die near postnatal day 15 (P15). By P10, the mutants are noticeably immobile and lay on their side. Before this stage, mutants can be identified by a failure to attempt to right themselves. In earlier perinatal stages, the mutants are of normal size and difficult to discern from their normal littermates. The affected mice can move their limbs although not in any purposeful manner. No protein is detectable in homozygous mutant animals",,,UniProt,Disease
SYN:lethal-yellow-mutation-a-y-a-dominant-allele-that-cause-embryonic-lethality-when,"lethal yellow mutation (A(y)), a dominant allele that cause embryonic lethality when homozygous, and pleiotropic effects when heterozygous, including yellow pelage, obesity, non-insulin dependent diab",,"Defects in Raly are the cause of lethal yellow mutation (A(y)), a dominant allele that cause embryonic lethality when homozygous, and pleiotropic effects when heterozygous, including yellow pelage, obesity, non-insulin dependent diabetes and increased tumor susceptibility. A(y) is due to a 170 kb deletion that removes all but the promoter and non-coding first exon of Raly and links them to the ASIP/Agouti gene",,,UniProt,Disease
SYN:the-spasmodic-spd-phenotype-a-mouse-mutant-which-resembles-the-human-neurologica,"the spasmodic (spd) phenotype, a mouse mutant which resembles the human neurological disease, hyperekplexia (or startle disease (STHE)) (PubMed:7920629)",,"Defects in Glra1 are the cause of the spasmodic (spd) phenotype, a mouse mutant which resembles the human neurological disease, hyperekplexia (or startle disease (STHE)) (PubMed:7920629). Defects in Glra1 are the cause of the lethal oscillator (spd-ot) phenotype. Mutant mice display a fine motor tremor and muscle spasms that begin at 2 weeks of age and progressively worsen, resulting in death by 3 weeks of age (PubMed:7874121). Heterozygous mice show an increased acoustic startle response (PubMed:9145798). Neurons from homozygous oscillator mice have dramatically reduced amplitude and frequency of glycinergic inhibitory postsynaptic currents (PubMed:16672662). The oscillator phenotype is due to the complete absence of Glra1 protein (PubMed:9145798)",,,UniProt,Disease
SYN:a-chromosomal-aberration-involving-trim24-produces-a-trim24-braf-t18-oncogene-or,A chromosomal aberration involving TRIM24 produces a TRIM24-BRAF (T18) oncogene originally isolated from a furfural-induced hepatoma,,A chromosomal aberration involving TRIM24 produces a TRIM24-BRAF (T18) oncogene originally isolated from a furfural-induced hepatoma,,,UniProt,Disease
SYN:purkinje-cell-degeneration-pcd,Purkinje cell degeneration (pcd),,"Defects in Agtpbp1 are the cause of Purkinje cell degeneration (pcd). Pcd is a spontaneous mutation that results in adult-onset degeneration of cerebellar Purkinje neurons, retinal photoreceptors, olfactory bulb mitral neurons and selected thalamic neurons, and causes defective spermatogenesis. Pcd mice also manifest cerebellar atrophy and a peripheral nerve degeneration resulting in pure motor or motor-predominant neuropathy. Motoric femoral quadriceps nerves are characterized by reduced total calibers, a loss of myelinated axons, perturbed axon morphology, and macrophage activation. The amount of motor neurons in the ventral horns of lumbar spinal cords is reduced. These anomalies are accompanied by dysregulated tubulin polyglutamylation (PubMed:30420557). Defects in mitochondrial metabolic functions are also observed. The molecular causes of neurodegeneration are probably due to an accumulation of glutamylation, either tubulin hyperglutamylation or another hyperglutamylated target proteins. An increase of intranuclear localization of lysyl oxidase (Lox) propeptide, which interferes with NF-kappa-B Rela signaling and microtubule-associated protein regulation of microtubule stability is also observed, possibly leading to underdevelopment of Purkinje cell dendrites",,,UniProt,Disease
SYN:helper-deficient-disease-hd-or-helpless-disease,helper deficient disease (HD) or helpless disease,,"Defects in Zbtb7b are the cause of helper deficient disease (HD) or helpless disease. HD and helpless mice are distinguished by the virtual absence of peripheral T-cells of the CD4(+)CD8(-) major histocompatibility complex (MHC) class II-restricted T-helper subset due to a specific block in thymic development. The developmental defect is selective for CD4(+)CD8(-) cells; the maturation of CD4(-)CD8(+) and gamma delta T-cells is normal indicating that lineage commitment is specifically perturbed without affecting positive selection. In helpless disease, NKT cells are hyperproliferative, most lack CD4 and instead express CD8. The majority of NKT cells in the thymus produce IL17 with high frequency while very few produce IFNG or other cytokines (PubMed:23105140)",,,UniProt,Disease
SYN:snell-s-waltzer-a-condition-characterized-by-circling-head-tossing-deafness-and-,"Snell's waltzer, a condition characterized by circling, head-tossing, deafness and hyperactivity",,"Defects in Myo6 are the cause of Snell's waltzer, a condition characterized by circling, head-tossing, deafness and hyperactivity",,,UniProt,Disease
SYN:embryonic-death-in-homozygous-animals,embryonic death in homozygous animals,,"Defects in Aktip are a cause of embryonic death in homozygous animals. Death occurs at about 10 days of development. Symptoms include loss of left-right asymmetry, malformation of the developing brain and of the spinal cord, syndactyly and polydactyly. Heterozygous animals are characterized by polydactyly and thymic hyperplasia",,,UniProt,Disease
SYN:mottled-pigmentation-of-the-coat-defects-in-connective-tissue-and-neonatal-or-fe,"mottled pigmentation of the coat, defects in connective tissue and neonatal or fetal death",,"Defects in Atp7a are associated with mottled, an X-linked recessive condition characterized by mottled pigmentation of the coat, defects in connective tissue and neonatal or fetal death. It is due to a defect in absorption and transport of copper. The mottled mutants exhibit a diversity of phenotypes. Two of these mutants are called brindled and blotchy and their phenotypes resemble classical Menkes disease (MD) and occipital horn syndrome (OHS) in humans, respectively. Other mutants are called dappled, mosaic, tortoiseshell, pewter, etc",,,UniProt,Disease
SYN:the-toxic-milk-mouse-mutant-tx-phenotype-characterized-by-accumulation-of-copper,"the toxic milk mouse mutant (tx) phenotype, characterized by accumulation of copper in the liver in a manner similar to that observed in patients with Wilson disease",,"Defects in Atp7b are the cause of the toxic milk mouse mutant (tx) phenotype, characterized by accumulation of copper in the liver in a manner similar to that observed in patients with Wilson disease",,,UniProt,Disease
SYN:head-blebs-heb-which-is-a-spontaneous-mutation-that-is-characterized-by-absent-o,"head blebs (heb) which is a spontaneous mutation that is characterized by absent or malformed eyes, which are often open at birth",,"Defects in Frem1 are the cause of head blebs (heb) which is a spontaneous mutation that is characterized by absent or malformed eyes, which are often open at birth. Cryptophthalmos is noted in all heb homozygous animals, as is occasional hindlimb polydactyly",,,UniProt,Disease
SYN:early-onset-retinal-degeneration-with-autosomal-recessive-inheritance,early-onset retinal degeneration with autosomal recessive inheritance,,Defects in Cep290 are a cause of early-onset retinal degeneration with autosomal recessive inheritance. The rd16 mutant carries a deletion of residues 1599-1897 in the Cep290 protein. Homozygous rd16 mice are characterized by the appearance of white retinal vessels at 1 month of age and large pigment patches at 2 months. Retinal degeneration is apparent as early as postnatal day 19 and progresses with age. The rd16 retina exhibits altered distribution of Rpgr and phototransduction proteins within the photoreceptor cells,,,UniProt,Disease
SYN:b-cell-lymphomas,B-cell lymphomas,,"Defects in Znf521 are a cause of B-cell lymphomas. The Znf521 gene is a frequent target of retroviral integration in murine B-cell lymphomas. Involved in most B-cell tumors in the AKXD-27 strain. Viral insertion into the Znf521 gene in the AKXD-27 strain causes Znf521 overexpression in B-cell tumors, resulting in the up-regulation of EBF1 and the increased expression of a number of EBF1 target genes. This in contrast to the role of Znf521 in other cells as a transcriptional repressor of EBF1. Misexpression initiates tumorigenesis by perturbing B-cell development via an interaction with EBF1",,,UniProt,Disease
SYN:postural-abnormalities-jerky-movements-and-tremormutant,"postural abnormalities, jerky movements and tremormutant",,"A spontaneous mutation (hyrt mice) causes a recessively transmitted form of hypertonia neurological dysfunction characterized by postural abnormalities, jerky movements and tremormutant. Hyrt mice have much lower levels of GABA(A) receptors in the CNS, particularly the lower motor neurons, than do wild-type mice, indicating that the hypertonicity of the mutants is likely to be caused by deficits in GABA-mediated motor neuron inhibition",,,UniProt,Disease
SYN:ducky-phenotype-du,ducky phenotype (du),,"Defects in Cacna2d2 are the cause of ducky phenotype (du). Du mice have spike-wave seizures characteristic of absence epilepsy and ataxia, with accompanying decreased calcium channel current in cerebellar Purkinje cells",,,UniProt,Disease
SYN:frameshift-variants-combined-with-alternative-initiation-of-translation-result-i,Frameshift variants combined with alternative initiation of translation result in the production of aberrant truncated KCNK18/TRESK proteins with dominant negative effects on KCNK2/TREK-1 and KCNK10/T,,"Frameshift variants combined with alternative initiation of translation result in the production of aberrant truncated KCNK18/TRESK proteins with dominant negative effects on KCNK2/TREK-1 and KCNK10/TREK-2 channel subunits, causing trigeminal neuron hyperexcitability and migraine-like phenotype, similarly to TREK-1 and TREK-2 double knockout mice",,,UniProt,Disease
SYN:the-ter-mutation-phenotype,the Ter mutation phenotype,,"Defects in Dnd1 are the cause of the Ter mutation phenotype. Ter mice are characterized by primordial germ cell loss and susceptibility to spontaneous testicular germ cell tumors (TGCT). They are sterile, but viable. Isoform 1 defects may be the cause of tumor development",,,UniProt,Disease
SYN:an-autosomal-recessive-phenotype-lanceolate-hair-lah-pubmed-12705872,an autosomal recessive phenotype lanceolate hair (lah) (PubMed:12705872),,Defects in Dsg4 are the cause of an autosomal recessive phenotype lanceolate hair (lah) (PubMed:12705872). Lah mouse pups develop only a few short hairs on the head and neck which form a lance head at the tip and disappear within a few month (PubMed:12705872). They have thickened skin and do not exhibit any growth retardation (PubMed:12705872),,,UniProt,Disease
SYN:polycystic-kidney-disease-pcy,polycystic kidney disease (pcy),,"Defects in Nphp3 may be the cause of polycystic kidney disease (pcy). Pcy is a recessive disorder causing chronic renal failure. The Pcy phenotype can be slowed by diet modification such as protein restriction, administration of soy-based proteins, administration of methylprednisolone or treatment with V2R antagonist. In contrast administration of bicarbonate/citrate has no effect",,,UniProt,Disease
SYN:the-jackson-shaker-phenotypes-js,the Jackson shaker phenotypes (js),,"Defects in Ush1g are the cause of the Jackson shaker phenotypes (js). Jackson shaker mice carry recessive mutations predicted to inactivate Ush1g by frameshift resulting in a truncated protein lacking the C-terminal SAM domain. The js phenotype is characterized by deafness, abnormal behavior (circling and/or head-tossing) and degeneration of inner ear neuroepithelia. Defects in the formation of protein complex including Ush1g may disrupt stereocilia bundle in js mice",,,UniProt,Disease
SYN:blebbed-bl-phenotype-which-is-characterized-by-blister-formation-syndactyly-eyel,"blebbed (bl) phenotype, which is characterized by blister formation, syndactyly, eyelid fusion and renal agenesis",,"Defects in Fras1 are the cause of blebbed (bl) phenotype, which is characterized by blister formation, syndactyly, eyelid fusion and renal agenesis. Subepidermal blisters are predominantly formed in the head region around the eyes and at the distal part of the limbs. As development proceeds blisters that are initially transparent gradually become hemorrhagic and embryos die between 14.5 dpc and 16.5 dpc",,,UniProt,Disease
SYN:t-cell-lymphomagenesis,T-cell lymphomagenesis,,Putative proto-oncogene involved in T-cell lymphomagenesis. May play a role in leukemogenesis,,,UniProt,Disease
SYN:the-phenotype-whirler-wi,the phenotype whirler (wi),,Defects in Whrn are the cause of the phenotype whirler (wi). Mutants are characterized by deafness due to malformation of the cochlear inner and outer hair cells and by circling behavior. Stereocilia are shorter and wider than in wild-type animals and there is a decrease in the number of actin filaments in inner and outer hair cells. The number of outer hair cell stereocilia is reduced with increased spacing between them,,,UniProt,Disease
SYN:spontaneous-hydrocephalus-3-a-lethal-communicating-hydrocephalus-with-perinatal-,"spontaneous hydrocephalus 3, a lethal communicating hydrocephalus with perinatal onset",,"Defects in Hydin are the cause of spontaneous hydrocephalus 3, a lethal communicating hydrocephalus with perinatal onset. There is lethality in the first weeks of life because of hydrocephalus caused by abnormal ependymal ciliary motility. Cilia are unable to bend normally, ciliary beat frequency is reduced, and the cilia tend to stall. As a result, these cilia are incapable of generating fluid flow. Similar defects are observed for cilia in trachea. Mice do not exhibit randomization of left-right body asymmetry or situs inversus",,,UniProt,Disease
SYN:ebouriffe-ebo-a-spontaneous-mutation-that-causes-male-sterility-pubmed-28192143-,"ebouriffe (ebo), a spontaneous mutation that causes male sterility (PubMed:28192143, PubMed:30135305, PubMed:8828840)",,"Defects in Lrrc8a are the cause of ebouriffe (ebo), a spontaneous mutation that causes male sterility (PubMed:28192143, PubMed:30135305, PubMed:8828840). Spermatozoa present in the epididymis display severe malformations, mostly of the tail (PubMed:28192143, PubMed:8828840). A drastic decrease of the spermatid population is observed, whereas spermatogonia and spermatocytes seem moderately affected (PubMed:28192143, PubMed:8828840). Defects are caused by decreased volume-regulated anion channel (VRAC) activity in germ cells (PubMed:30135305). Oogenesis is not affected but embryos derived from ebo/ebo females show early developmental failure (PubMed:30135305)",,,UniProt,Disease
SYN:the-infantile-gliosis-phenotype-ingls,the infantile gliosis phenotype (ingls),,"Defects in Vac14 are the cause of the infantile gliosis phenotype (ingls). Mice exhibit reduced body size and diluted pigmentation that can be recognized as early as postnatal day 3 (P3). By P14, the mice exhibit a tremor and impaired motor function. Maximal survival of the mice is for 3 weeks. Small areas with the appearance of spongiform degeneration are visible in several brain regions, including the thalamus, brain stem and cerebellar nucleus",,,UniProt,Disease
SYN:a-cleft-lip-and-palate-cl-p-phenotype-called-dancer-dc,a cleft lip and palate (CL/P) phenotype called Dancer (Dc),,Defects in Tbx10 are the cause of a cleft lip and palate (CL/P) phenotype called Dancer (Dc). The defect is caused by a gain of function,,,UniProt,Disease
SYN:defects-of-the-right-heart-ventricle-and-of-high-mortality-in-newborns,defects of the right heart ventricle and of high mortality in newborns,,Defects in Mospd3 are a cause of defects of the right heart ventricle and of high mortality in newborns,,,UniProt,Disease
SYN:formation-of-ubiquitinated-protein-aggregates-in-cerebellar-purkinje-cells-and-d,formation of ubiquitinated protein aggregates in cerebellar Purkinje cells and degeneration of these neurons,,"In sticky (sti); homozygous mice display an unkempt sticky appearance of fur and show cerebellar Purkinje cell loss and ataxia. Defects are caused by impaired ability to edit incorrectly charged tRNA(Ala), resulting in a two-fold increase in Ser-mischarged tRNA(Ala). This results in formation of ubiquitinated protein aggregates in cerebellar Purkinje cells and degeneration of these neurons",,,UniProt,Disease
SYN:the-spontaneous-gray-lethal-gl-mutant-which-is-responsible-for-a-coat-color-defe,"the spontaneous gray-lethal (gl) mutant, which is responsible for a coat color defect and for the development of the most severe autosomal recessive form of osteopetrosis",,"Defects in Ostm1 are the cause of the spontaneous gray-lethal (gl) mutant, which is responsible for a coat color defect and for the development of the most severe autosomal recessive form of osteopetrosis. Osteopetrosis is a rare genetic disease characterized by abnormally dense bone, due to defective resorption of immature bone. The disorder occurs in two forms: a severe autosomal recessive form occurring in utero, infancy, or childhood, and a benign autosomal dominant form occurring in adolescence or adulthood",,,UniProt,Disease
SYN:jittery-phenotype-which-is-characterized-by-severe-truncal-and-limb-ataxia-and-d,"jittery phenotype, which is characterized by severe truncal and limb ataxia and death due to starvation and dehydration by 3-4 weeks of age",,"Defects in Atcay are the cause of jittery phenotype, which is characterized by severe truncal and limb ataxia and death due to starvation and dehydration by 3-4 weeks of age",,,UniProt,Disease
SYN:the-azh-abnormal-spermatozoon-head-shape-mutant-phenotype-which-induces-spermato,"the azh (abnormal spermatozoon head shape) mutant phenotype, which induces spermatozoa with highly abnormal head morphology that differs drastically from the compact and hook-shaped head of the normal",,"Defects in Hook1 are the cause of the azh (abnormal spermatozoon head shape) mutant phenotype, which induces spermatozoa with highly abnormal head morphology that differs drastically from the compact and hook-shaped head of the normal sperm, leading to a strong decrease of fertility",,,UniProt,Disease
SYN:hermansky-pudlak-like-syndrome-a-syndrome-characterized-by-hypopigmented-eyes-an,"Hermansky-Pudlak-like syndrome, a syndrome characterized by hypopigmented eyes and coat, melanosomes greatly reduced in number and morphologically bizarre, kidney proximal tubules secreting lysosomal ",,"Defects in Hps6 are the cause of Hermansky-Pudlak-like syndrome, a syndrome characterized by hypopigmented eyes and coat, melanosomes greatly reduced in number and morphologically bizarre, kidney proximal tubules secreting lysosomal enzymes into urine at greatly reduced rates, platelet dense granules deficient in critical components, such as serotonin and adenine nucleotides, leading to functionally abnormal platelets and prolonged bleeding times, and mast cell granules undergoing unregulated 'kiss-and-run' fusion at the plasma membrane",,,UniProt,Disease
SYN:a-spontaneous-deletion-of-tmem67-cause-the-bilateral-polycystic-kidneys-bpck-phe,"A spontaneous deletion of TMEM67 cause the bilateral polycystic kidneys (bpck) phenotype, a disease mimicking human Meckel-Gruber syndrome 3",,"A spontaneous deletion of TMEM67 cause the bilateral polycystic kidneys (bpck) phenotype, a disease mimicking human Meckel-Gruber syndrome 3. Homozygous bpck/bpck mice typically manifest bilateral nephropathy with swollen abdomens resulting from grossly enlarged polycystic kidneys and die by 3 week of age. Some mice also develop hydrocephalus, usually detectable within a few days of birth (PubMed:19211713). Additionally, bpck/bpck mice exhibit retinal degeneration and tissue disorganization in the eye, and cochlear defects (PubMed:23393159)",,,UniProt,Disease
SYN:complete-loss-of-photoreceptor-rod-cells-by-5-weeks-and-cones-by-8-weeks,"complete loss of photoreceptor rod cells by 5 weeks, and cones by 8 weeks",,"A spontaneous mutation leading to a frameshift and in an unstable truncated protein lacking the C-terminal 89 amino acids causes retinal degeneration. Homozygotes mice (called rd-3) display retinal degeneration, beginning at 3 weeks of age, characterized by complete loss of photoreceptor rod cells by 5 weeks, and cones by 8 weeks",,,UniProt,Disease
SYN:the-nessy-phenotype-which-is-characterized-by-a-specific-defect-in-t-cell-develo,the nessy phenotype which is characterized by a specific defect in T-cell development,,"Defects in Ncaph2 are the cause of the nessy phenotype which is characterized by a specific defect in T-cell development. Nessy thymuses are smaller, with corticomedullary junctions less well defined, and cortical cells sparser than in wild-type. The thymocyte defect is typified by an increased proportion of CD4-CD8- DN T-cell progenitors. Only thymocyte differentiation is affected in Nessy mice and not cell differentiation",,,UniProt,Disease
SYN:severely-impaired-resistance-to-infection-by-m,severely impaired resistance to infection by M,,Defects in Sp110 are a cause of severely impaired resistance to infection by M.tuberculosis,,,UniProt,Disease
SYN:the-jitterbug-jbg-phenotype-pubmed-17021174-pubmed-24285636,"the jitterbug (jbg) phenotype (PubMed:17021174, PubMed:24285636)",,"Defects in Clic5 are a cause of the jitterbug (jbg) phenotype (PubMed:17021174, PubMed:24285636). Jbg is the result of a spontaneous mutation that leads to severe degeneration of the organ of Corti in the inner ear (PubMed:17021174). Jbg leads to progressive degeneration of inner ear hair cells (PubMed:17021174, PubMed:24285636). Affected mice are identified by head bobbing, circling behavior and their inability to swim (PubMed:17021174). They cannot hear well when young, and become completely deaf after 5 months (PubMed:17021174). In addition, there are eye defects with aberrant development of the lens suture and formation of lens opacities (PubMed:29425878)",,,UniProt,Disease
SYN:the-accumulation-of-effector-memory-t-cells-and-igg-b-cells-profound-hypergammag,"the accumulation of effector/memory T-cells and IgG B-cells, profound hypergammaglobulinemia, autoantibody production, and glomerulonephritis",,"Defects in Def6 results in spontaneous development of a lupus-like syndrome in aging female mice. It is characterized by the accumulation of effector/memory T-cells and IgG B-cells, profound hypergammaglobulinemia, autoantibody production, and glomerulonephritis",,,UniProt,Disease
SYN:the-itchy-phenotype-which-is-an-inflammatory-and-immunological-condition-charact,"the itchy phenotype which is an inflammatory and immunological condition characterized by inflammation in the lung and stomach, hyperplasia in lymphoid and hematopoietic cells and constant itching in ",,"Defects in Itch are the cause of the itchy phenotype which is an inflammatory and immunological condition characterized by inflammation in the lung and stomach, hyperplasia in lymphoid and hematopoietic cells and constant itching in the skin",,,UniProt,Disease
SYN:embryonic-lethality,embryonic lethality,,Defects in Uba3 are a cause of embryonic lethality. Mouse embryos deficient in Uba3 die at the preimplantation stage (PubMed:11696557),,,UniProt,Disease
SYN:the-hug-heart-under-glass-phenotype-which-is-a-model-of-joubert-syndrome,the Hug (Heart under glass) phenotype which is a model of Joubert syndrome,,"Defects in Jbts17 are the cause of the Hug (Heart under glass) phenotype which is a model of Joubert syndrome. Hug mice die prenatally and show skelatal dysplasia, craniofacial defects, polydactyly, cystic kidney, cerebellar hypoplasia and congenital heart defects of varying degrees. Most severely affected mutants die at mid-gestation with a transparent chest wall due to complete failure to form the rib cage. The phenotype is consistent with the spectrum of MKS-BBS-Joubert syndrome phenotypes",,,UniProt,Disease
SYN:the-development-of-myocarditis-and-subsequent-fibrosis-in-the-experimental-model,the development of myocarditis and subsequent fibrosis in the experimental model of coxsackievirus B3-induced chronic myocarditis,,Involved in the development of myocarditis and subsequent fibrosis in the experimental model of coxsackievirus B3-induced chronic myocarditis,,,UniProt,Disease
SYN:fragile-red-phenotype-characterized-by-hypochromic-microcytic-anemia,fragile-red phenotype characterized by hypochromic microcytic anemia,,Defects in Steap3 are the cause of fragile-red phenotype characterized by hypochromic microcytic anemia,,,UniProt,Disease
