:START_ID(Protein),:END_ID(Disease),association_note,association_source,:TYPE
10584,SYN:the-spasmodic-spd-phenotype-a-mouse-mutant-which-resembles-the-human-neurologica,"Defects in Glra1 are the cause of the spasmodic (spd) phenotype, a mouse mutant which resembles the human neurological disease, hyperekplexia (or startle disease (STHE)) (PubMed:7920629). Defects in Glra1 are the cause of the lethal oscillator (spd-ot) phenotype. Mutant mice display a fine motor tremor and muscle spasms that begin at 2 weeks of age and progressively worsen, resulting in death by 3 weeks of age (PubMed:7874121). Heterozygous mice show an increased acoustic startle response (PubMed:9145798). Neurons from homozygous oscillator mice have dramatically reduced amplitude and frequency of glycinergic inhibitory postsynaptic currents (PubMed:16672662). The oscillator phenotype is due to the complete absence of Glra1 protein (PubMed:9145798)",UniProt,ASSOCIATED_WITH
10605,SYN:a-chromosomal-aberration-involving-trim24-produces-a-trim24-braf-t18-oncogene-or,A chromosomal aberration involving TRIM24 produces a TRIM24-BRAF (T18) oncogene originally isolated from a furfural-induced hepatoma,UniProt,ASSOCIATED_WITH
10614,SYN:purkinje-cell-degeneration-pcd,"Defects in Agtpbp1 are the cause of Purkinje cell degeneration (pcd). Pcd is a spontaneous mutation that results in adult-onset degeneration of cerebellar Purkinje neurons, retinal photoreceptors, olfactory bulb mitral neurons and selected thalamic neurons, and causes defective spermatogenesis. Pcd mice also manifest cerebellar atrophy and a peripheral nerve degeneration resulting in pure motor or motor-predominant neuropathy. Motoric femoral quadriceps nerves are characterized by reduced total calibers, a loss of myelinated axons, perturbed axon morphology, and macrophage activation. The amount of motor neurons in the ventral horns of lumbar spinal cords is reduced. These anomalies are accompanied by dysregulated tubulin polyglutamylation (PubMed:30420557). Defects in mitochondrial metabolic functions are also observed. The molecular causes of neurodegeneration are probably due to an accumulation of glutamylation, either tubulin hyperglutamylation or another hyperglutamylated target proteins. An increase of intranuclear localization of lysyl oxidase (Lox) propeptide, which interferes with NF-kappa-B Rela signaling and microtubule-associated protein regulation of microtubule stability is also observed, possibly leading to underdevelopment of Purkinje cell dendrites",UniProt,ASSOCIATED_WITH
10643,SYN:helper-deficient-disease-hd-or-helpless-disease,"Defects in Zbtb7b are the cause of helper deficient disease (HD) or helpless disease. HD and helpless mice are distinguished by the virtual absence of peripheral T-cells of the CD4(+)CD8(-) major histocompatibility complex (MHC) class II-restricted T-helper subset due to a specific block in thymic development. The developmental defect is selective for CD4(+)CD8(-) cells; the maturation of CD4(-)CD8(+) and gamma delta T-cells is normal indicating that lineage commitment is specifically perturbed without affecting positive selection. In helpless disease, NKT cells are hyperproliferative, most lack CD4 and instead express CD8. The majority of NKT cells in the thymus produce IL17 with high frequency while very few produce IFNG or other cytokines (PubMed:23105140)",UniProt,ASSOCIATED_WITH
10650,SYN:snell-s-waltzer-a-condition-characterized-by-circling-head-tossing-deafness-and-,"Defects in Myo6 are the cause of Snell's waltzer, a condition characterized by circling, head-tossing, deafness and hyperactivity",UniProt,ASSOCIATED_WITH
10661,SYN:embryonic-death-in-homozygous-animals,"Defects in Aktip are a cause of embryonic death in homozygous animals. Death occurs at about 10 days of development. Symptoms include loss of left-right asymmetry, malformation of the developing brain and of the spinal cord, syndactyly and polydactyly. Heterozygous animals are characterized by polydactyly and thymic hyperplasia",UniProt,ASSOCIATED_WITH
10671,SYN:mottled-pigmentation-of-the-coat-defects-in-connective-tissue-and-neonatal-or-fe,"Defects in Atp7a are associated with mottled, an X-linked recessive condition characterized by mottled pigmentation of the coat, defects in connective tissue and neonatal or fetal death. It is due to a defect in absorption and transport of copper. The mottled mutants exhibit a diversity of phenotypes. Two of these mutants are called brindled and blotchy and their phenotypes resemble classical Menkes disease (MD) and occipital horn syndrome (OHS) in humans, respectively. Other mutants are called dappled, mosaic, tortoiseshell, pewter, etc",UniProt,ASSOCIATED_WITH
10682,SYN:the-toxic-milk-mouse-mutant-tx-phenotype-characterized-by-accumulation-of-copper,"Defects in Atp7b are the cause of the toxic milk mouse mutant (tx) phenotype, characterized by accumulation of copper in the liver in a manner similar to that observed in patients with Wilson disease",UniProt,ASSOCIATED_WITH
10782,SYN:head-blebs-heb-which-is-a-spontaneous-mutation-that-is-characterized-by-absent-o,"Defects in Frem1 are the cause of head blebs (heb) which is a spontaneous mutation that is characterized by absent or malformed eyes, which are often open at birth. Cryptophthalmos is noted in all heb homozygous animals, as is occasional hindlimb polydactyly",UniProt,ASSOCIATED_WITH
10879,SYN:early-onset-retinal-degeneration-with-autosomal-recessive-inheritance,Defects in Cep290 are a cause of early-onset retinal degeneration with autosomal recessive inheritance. The rd16 mutant carries a deletion of residues 1599-1897 in the Cep290 protein. Homozygous rd16 mice are characterized by the appearance of white retinal vessels at 1 month of age and large pigment patches at 2 months. Retinal degeneration is apparent as early as postnatal day 19 and progresses with age. The rd16 retina exhibits altered distribution of Rpgr and phototransduction proteins within the photoreceptor cells,UniProt,ASSOCIATED_WITH
11005,SYN:b-cell-lymphomas,"Defects in Znf521 are a cause of B-cell lymphomas. The Znf521 gene is a frequent target of retroviral integration in murine B-cell lymphomas. Involved in most B-cell tumors in the AKXD-27 strain. Viral insertion into the Znf521 gene in the AKXD-27 strain causes Znf521 overexpression in B-cell tumors, resulting in the up-regulation of EBF1 and the increased expression of a number of EBF1 target genes. This in contrast to the role of Znf521 in other cells as a transcriptional repressor of EBF1. Misexpression initiates tumorigenesis by perturbing B-cell development via an interaction with EBF1",UniProt,ASSOCIATED_WITH
11299,SYN:postural-abnormalities-jerky-movements-and-tremormutant,"A spontaneous mutation (hyrt mice) causes a recessively transmitted form of hypertonia neurological dysfunction characterized by postural abnormalities, jerky movements and tremormutant. Hyrt mice have much lower levels of GABA(A) receptors in the CNS, particularly the lower motor neurons, than do wild-type mice, indicating that the hypertonicity of the mutants is likely to be caused by deficits in GABA-mediated motor neuron inhibition",UniProt,ASSOCIATED_WITH
11407,SYN:ducky-phenotype-du,"Defects in Cacna2d2 are the cause of ducky phenotype (du). Du mice have spike-wave seizures characteristic of absence epilepsy and ataxia, with accompanying decreased calcium channel current in cerebellar Purkinje cells",UniProt,ASSOCIATED_WITH
11512,SYN:frameshift-variants-combined-with-alternative-initiation-of-translation-result-i,"Frameshift variants combined with alternative initiation of translation result in the production of aberrant truncated KCNK18/TRESK proteins with dominant negative effects on KCNK2/TREK-1 and KCNK10/TREK-2 channel subunits, causing trigeminal neuron hyperexcitability and migraine-like phenotype, similarly to TREK-1 and TREK-2 double knockout mice",UniProt,ASSOCIATED_WITH
11515,SYN:the-ter-mutation-phenotype,"Defects in Dnd1 are the cause of the Ter mutation phenotype. Ter mice are characterized by primordial germ cell loss and susceptibility to spontaneous testicular germ cell tumors (TGCT). They are sterile, but viable. Isoform 1 defects may be the cause of tumor development",UniProt,ASSOCIATED_WITH
11784,SYN:an-autosomal-recessive-phenotype-lanceolate-hair-lah-pubmed-12705872,Defects in Dsg4 are the cause of an autosomal recessive phenotype lanceolate hair (lah) (PubMed:12705872). Lah mouse pups develop only a few short hairs on the head and neck which form a lance head at the tip and disappear within a few month (PubMed:12705872). They have thickened skin and do not exhibit any growth retardation (PubMed:12705872),UniProt,ASSOCIATED_WITH
11846,SYN:polycystic-kidney-disease-pcy,"Defects in Nphp3 may be the cause of polycystic kidney disease (pcy). Pcy is a recessive disorder causing chronic renal failure. The Pcy phenotype can be slowed by diet modification such as protein restriction, administration of soy-based proteins, administration of methylprednisolone or treatment with V2R antagonist. In contrast administration of bicarbonate/citrate has no effect",UniProt,ASSOCIATED_WITH
12302,SYN:the-jackson-shaker-phenotypes-js,"Defects in Ush1g are the cause of the Jackson shaker phenotypes (js). Jackson shaker mice carry recessive mutations predicted to inactivate Ush1g by frameshift resulting in a truncated protein lacking the C-terminal SAM domain. The js phenotype is characterized by deafness, abnormal behavior (circling and/or head-tossing) and degeneration of inner ear neuroepithelia. Defects in the formation of protein complex including Ush1g may disrupt stereocilia bundle in js mice",UniProt,ASSOCIATED_WITH
12303,SYN:blebbed-bl-phenotype-which-is-characterized-by-blister-formation-syndactyly-eyel,"Defects in Fras1 are the cause of blebbed (bl) phenotype, which is characterized by blister formation, syndactyly, eyelid fusion and renal agenesis. Subepidermal blisters are predominantly formed in the head region around the eyes and at the distal part of the limbs. As development proceeds blisters that are initially transparent gradually become hemorrhagic and embryos die between 14.5 dpc and 16.5 dpc",UniProt,ASSOCIATED_WITH
12399,SYN:t-cell-lymphomagenesis,Putative proto-oncogene involved in T-cell lymphomagenesis. May play a role in leukemogenesis,UniProt,ASSOCIATED_WITH
12489,SYN:the-phenotype-whirler-wi,Defects in Whrn are the cause of the phenotype whirler (wi). Mutants are characterized by deafness due to malformation of the cochlear inner and outer hair cells and by circling behavior. Stereocilia are shorter and wider than in wild-type animals and there is a decrease in the number of actin filaments in inner and outer hair cells. The number of outer hair cell stereocilia is reduced with increased spacing between them,UniProt,ASSOCIATED_WITH
12516,SYN:spontaneous-hydrocephalus-3-a-lethal-communicating-hydrocephalus-with-perinatal-,"Defects in Hydin are the cause of spontaneous hydrocephalus 3, a lethal communicating hydrocephalus with perinatal onset. There is lethality in the first weeks of life because of hydrocephalus caused by abnormal ependymal ciliary motility. Cilia are unable to bend normally, ciliary beat frequency is reduced, and the cilia tend to stall. As a result, these cilia are incapable of generating fluid flow. Similar defects are observed for cilia in trachea. Mice do not exhibit randomization of left-right body asymmetry or situs inversus",UniProt,ASSOCIATED_WITH
12526,SYN:ebouriffe-ebo-a-spontaneous-mutation-that-causes-male-sterility-pubmed-28192143-,"Defects in Lrrc8a are the cause of ebouriffe (ebo), a spontaneous mutation that causes male sterility (PubMed:28192143, PubMed:30135305, PubMed:8828840). Spermatozoa present in the epididymis display severe malformations, mostly of the tail (PubMed:28192143, PubMed:8828840). A drastic decrease of the spermatid population is observed, whereas spermatogonia and spermatocytes seem moderately affected (PubMed:28192143, PubMed:8828840). Defects are caused by decreased volume-regulated anion channel (VRAC) activity in germ cells (PubMed:30135305). Oogenesis is not affected but embryos derived from ebo/ebo females show early developmental failure (PubMed:30135305)",UniProt,ASSOCIATED_WITH
12538,SYN:the-infantile-gliosis-phenotype-ingls,"Defects in Vac14 are the cause of the infantile gliosis phenotype (ingls). Mice exhibit reduced body size and diluted pigmentation that can be recognized as early as postnatal day 3 (P3). By P14, the mice exhibit a tremor and impaired motor function. Maximal survival of the mice is for 3 weeks. Small areas with the appearance of spongiform degeneration are visible in several brain regions, including the thalamus, brain stem and cerebellar nucleus",UniProt,ASSOCIATED_WITH
12761,SYN:a-cleft-lip-and-palate-cl-p-phenotype-called-dancer-dc,Defects in Tbx10 are the cause of a cleft lip and palate (CL/P) phenotype called Dancer (Dc). The defect is caused by a gain of function,UniProt,ASSOCIATED_WITH
12968,SYN:defects-of-the-right-heart-ventricle-and-of-high-mortality-in-newborns,Defects in Mospd3 are a cause of defects of the right heart ventricle and of high mortality in newborns,UniProt,ASSOCIATED_WITH
13003,SYN:formation-of-ubiquitinated-protein-aggregates-in-cerebellar-purkinje-cells-and-d,"In sticky (sti); homozygous mice display an unkempt sticky appearance of fur and show cerebellar Purkinje cell loss and ataxia. Defects are caused by impaired ability to edit incorrectly charged tRNA(Ala), resulting in a two-fold increase in Ser-mischarged tRNA(Ala). This results in formation of ubiquitinated protein aggregates in cerebellar Purkinje cells and degeneration of these neurons",UniProt,ASSOCIATED_WITH
13015,SYN:the-spontaneous-gray-lethal-gl-mutant-which-is-responsible-for-a-coat-color-defe,"Defects in Ostm1 are the cause of the spontaneous gray-lethal (gl) mutant, which is responsible for a coat color defect and for the development of the most severe autosomal recessive form of osteopetrosis. Osteopetrosis is a rare genetic disease characterized by abnormally dense bone, due to defective resorption of immature bone. The disorder occurs in two forms: a severe autosomal recessive form occurring in utero, infancy, or childhood, and a benign autosomal dominant form occurring in adolescence or adulthood",UniProt,ASSOCIATED_WITH
13132,SYN:jittery-phenotype-which-is-characterized-by-severe-truncal-and-limb-ataxia-and-d,"Defects in Atcay are the cause of jittery phenotype, which is characterized by severe truncal and limb ataxia and death due to starvation and dehydration by 3-4 weeks of age",UniProt,ASSOCIATED_WITH
13239,SYN:the-azh-abnormal-spermatozoon-head-shape-mutant-phenotype-which-induces-spermato,"Defects in Hook1 are the cause of the azh (abnormal spermatozoon head shape) mutant phenotype, which induces spermatozoa with highly abnormal head morphology that differs drastically from the compact and hook-shaped head of the normal sperm, leading to a strong decrease of fertility",UniProt,ASSOCIATED_WITH
13420,SYN:hermansky-pudlak-like-syndrome-a-syndrome-characterized-by-hypopigmented-eyes-an,"Defects in Hps6 are the cause of Hermansky-Pudlak-like syndrome, a syndrome characterized by hypopigmented eyes and coat, melanosomes greatly reduced in number and morphologically bizarre, kidney proximal tubules secreting lysosomal enzymes into urine at greatly reduced rates, platelet dense granules deficient in critical components, such as serotonin and adenine nucleotides, leading to functionally abnormal platelets and prolonged bleeding times, and mast cell granules undergoing unregulated 'kiss-and-run' fusion at the plasma membrane",UniProt,ASSOCIATED_WITH
13610,SYN:a-spontaneous-deletion-of-tmem67-cause-the-bilateral-polycystic-kidneys-bpck-phe,"A spontaneous deletion of TMEM67 cause the bilateral polycystic kidneys (bpck) phenotype, a disease mimicking human Meckel-Gruber syndrome 3. Homozygous bpck/bpck mice typically manifest bilateral nephropathy with swollen abdomens resulting from grossly enlarged polycystic kidneys and die by 3 week of age. Some mice also develop hydrocephalus, usually detectable within a few days of birth (PubMed:19211713). Additionally, bpck/bpck mice exhibit retinal degeneration and tissue disorganization in the eye, and cochlear defects (PubMed:23393159)",UniProt,ASSOCIATED_WITH
13616,SYN:complete-loss-of-photoreceptor-rod-cells-by-5-weeks-and-cones-by-8-weeks,"A spontaneous mutation leading to a frameshift and in an unstable truncated protein lacking the C-terminal 89 amino acids causes retinal degeneration. Homozygotes mice (called rd-3) display retinal degeneration, beginning at 3 weeks of age, characterized by complete loss of photoreceptor rod cells by 5 weeks, and cones by 8 weeks",UniProt,ASSOCIATED_WITH
13661,SYN:the-nessy-phenotype-which-is-characterized-by-a-specific-defect-in-t-cell-develo,"Defects in Ncaph2 are the cause of the nessy phenotype which is characterized by a specific defect in T-cell development. Nessy thymuses are smaller, with corticomedullary junctions less well defined, and cortical cells sparser than in wild-type. The thymocyte defect is typified by an increased proportion of CD4-CD8- DN T-cell progenitors. Only thymocyte differentiation is affected in Nessy mice and not cell differentiation",UniProt,ASSOCIATED_WITH
13803,SYN:severely-impaired-resistance-to-infection-by-m,Defects in Sp110 are a cause of severely impaired resistance to infection by M.tuberculosis,UniProt,ASSOCIATED_WITH
13937,SYN:the-jitterbug-jbg-phenotype-pubmed-17021174-pubmed-24285636,"Defects in Clic5 are a cause of the jitterbug (jbg) phenotype (PubMed:17021174, PubMed:24285636). Jbg is the result of a spontaneous mutation that leads to severe degeneration of the organ of Corti in the inner ear (PubMed:17021174). Jbg leads to progressive degeneration of inner ear hair cells (PubMed:17021174, PubMed:24285636). Affected mice are identified by head bobbing, circling behavior and their inability to swim (PubMed:17021174). They cannot hear well when young, and become completely deaf after 5 months (PubMed:17021174). In addition, there are eye defects with aberrant development of the lens suture and formation of lens opacities (PubMed:29425878)",UniProt,ASSOCIATED_WITH
14216,SYN:the-accumulation-of-effector-memory-t-cells-and-igg-b-cells-profound-hypergammag,"Defects in Def6 results in spontaneous development of a lupus-like syndrome in aging female mice. It is characterized by the accumulation of effector/memory T-cells and IgG B-cells, profound hypergammaglobulinemia, autoantibody production, and glomerulonephritis",UniProt,ASSOCIATED_WITH
14415,SYN:the-itchy-phenotype-which-is-an-inflammatory-and-immunological-condition-charact,"Defects in Itch are the cause of the itchy phenotype which is an inflammatory and immunological condition characterized by inflammation in the lung and stomach, hyperplasia in lymphoid and hematopoietic cells and constant itching in the skin",UniProt,ASSOCIATED_WITH
14416,SYN:embryonic-lethality,Defects in Uba3 are a cause of embryonic lethality. Mouse embryos deficient in Uba3 die at the preimplantation stage (PubMed:11696557),UniProt,ASSOCIATED_WITH
14619,SYN:the-hug-heart-under-glass-phenotype-which-is-a-model-of-joubert-syndrome,"Defects in Jbts17 are the cause of the Hug (Heart under glass) phenotype which is a model of Joubert syndrome. Hug mice die prenatally and show skelatal dysplasia, craniofacial defects, polydactyly, cystic kidney, cerebellar hypoplasia and congenital heart defects of varying degrees. Most severely affected mutants die at mid-gestation with a transparent chest wall due to complete failure to form the rib cage. The phenotype is consistent with the spectrum of MKS-BBS-Joubert syndrome phenotypes",UniProt,ASSOCIATED_WITH
14845,SYN:the-development-of-myocarditis-and-subsequent-fibrosis-in-the-experimental-model,Involved in the development of myocarditis and subsequent fibrosis in the experimental model of coxsackievirus B3-induced chronic myocarditis,UniProt,ASSOCIATED_WITH
14851,SYN:fragile-red-phenotype-characterized-by-hypochromic-microcytic-anemia,Defects in Steap3 are the cause of fragile-red phenotype characterized by hypochromic microcytic anemia,UniProt,ASSOCIATED_WITH
14961,SYN:the-paralyze-par-phenotype-a-spontaneous-mutant-strain,"Defects in Afg3l2 are the cause of the paralyze (par) phenotype, a spontaneous mutant strain. Par mice have a normal appearance and fertility but are significantly smaller than their littermates at 1 week of age and display a rapidly progressive loss of motor function in all limbs by 12-14 days. As the disease progresses, they lose the ability to support their own weight or turn themselves over when placed on their back and exhibit a typical posture with over extension of all limbs and uncoordinated movements. They rarely survive beyond 16 days of age, when they are completely paralyzed",UniProt,ASSOCIATED_WITH
15079,SYN:allele-r187x-is-a-disease-susceptibility-variant-which-modifies-the-severity-of-,"Allele R187X is a disease susceptibility variant, which modifies the severity of the disease jolting mutant (medjo) caused by defects in Scn8a. It reduces the abundance of correctly spliced Scn8a transcripts below the threshold for survival thereby converting a chronic movement disorder into a lethal neurological disease",UniProt,ASSOCIATED_WITH
15128,SYN:the-claw-paw-clp-phenotype,"Defects in Lgi4 are the cause of the claw paw (clp) phenotype. Mice are characterized by limb posture abnormalities and peripheral hypomyelination, with no sign of dysmyelination in the CNS",UniProt,ASSOCIATED_WITH
15338,SYN:the-spinner-mutant-strain-phenotype-sr,"Defects in Tmie are the cause of the spinner mutant strain phenotype (sr). This disorder results in hearing loss and vestibular dysfunction due to neuroepithelial defects in the inner ear. It is recognized by behavioral dysfunction, including bidirectional circling and head shaking. Auditory function in spinner mice is found to be reduced, based upon the lack of a startle reflex to sound at any age. Breeding experiments indicated that these defects are inherited in an autosomal recessive fashion. The postnatal defects present in the cochleae of sr/sr mice suggest a requirement for Tmie during maturation of sensory cells, including the normal development or maintenance of stereocilia bundles",UniProt,ASSOCIATED_WITH
15341,SYN:retinal-degeneration-6-rd6,Defects in Mfrp are the cause of retinal degeneration 6 (RD6). RD6 is an autosomal recessive degeneration of the photoreceptors causing dysfunction of both rods and cones,UniProt,ASSOCIATED_WITH
15448,SYN:a-form-of-oculocutaneous-albinism-known-as-the-chocolate-cht-phenotype,Defects in Rab38 are the cause of a form of oculocutaneous albinism known as the chocolate (cht) phenotype. Mice exhibit a brown coat similar in color to mice with a mutation in tyrosinase-related protein 1 (TYRP1). The targeting of TYRP1 protein to the melanosome is impaired in Rab38(cht)/Rab38(cht) melanocytes,UniProt,ASSOCIATED_WITH
15454,SYN:the-muted-mu-mutant-which-is-characterized-by-light-eyes-at-birth-hypopigmentati,"Defects in Muted are the cause of the Muted (mu) mutant, which is characterized by light eyes at birth, hypopigmentation of the coat, platelet storage pool deficiency and lysosomal hyposecretion",UniProt,ASSOCIATED_WITH
15556,SYN:the-moonlight-phenotype-mnlt,"Defects in Dock7 are responsible for the moonlight phenotype (mnlt). mnlt/mnlt mice display an overall lightened coat color and hypopigmentation of the belly and distal extremities, particularly the paws, tail tip, and genitalia",UniProt,ASSOCIATED_WITH
15794,SYN:recurrent-site-of-retroviral-integration-in-murine-b-cell-lymphomas,Recurrent site of retroviral integration in murine B-cell lymphomas,UniProt,ASSOCIATED_WITH
15839,SYN:the-varitin-waddler-va-phenotype,"Defects in Mcoln3 are the cause of the varitin-waddler (Va) phenotype. Classical Va mice exhibit early-onset hearing loss, vestibular defects, pigmentation abnormalities and perinatal lethality. The phenotype varitin-waddler Jackcon (Va-J), which arose in a cross segregating for Va, is similar but less severe",UniProt,ASSOCIATED_WITH
15856,SYN:the-dominant-deaf-mutant-beethoven-bth,"Defects in Tmc1 are the cause of the dominant deaf mutant Beethoven (BTH). Heterozygotes show progressive hair-cell degeneration from day 20 onwards, leading to severe depletion of inner hair cells and scattered loss of outer hair cells, and progressive loss of the Preyer reflex from around day 30. Homozygotes show almost complete degeneration of inner hair cells, and little or no Preyer reflex at any age",UniProt,ASSOCIATED_WITH
15856,SYN:recessive-deaf-mutant-dn,"Defects in Tmc1 are the cause of recessive deaf mutant dn. The dn mutant shows profound deafness with degeneration of the organ of Corti, stria vascularis, and occasionally the saccular macula, starting at about 10 days after birth (PubMed:11850618)",UniProt,ASSOCIATED_WITH
15860,SYN:polycystic-kidney-disease,Defects in Cys1 are a cause of polycystic kidney disease,UniProt,ASSOCIATED_WITH
15907,SYN:defects-in-gipc3-underlie-the-age-related-hearing-loss-5-ahl5-and-juvenile-audio,"Defects in GIPC3 underlie the age-related hearing loss 5 (ahl5) and juvenile audiogenic monogenic seizure (jams1) phenotypes. Ahl5 mice show irregular structure of the stereocilia bundle of outer and inner hair cells, late-onset degeneration of the organ of Corti. The spiral ganglion exhibits a severe loss of neurons",UniProt,ASSOCIATED_WITH
16180,SYN:the-cappuccino-cno-mutant-which-is-characterized-by-a-severe-oculocutaneous-albi,"Defects in Cno are the cause of the cappuccino (Cno) mutant, which is characterized by a severe oculocutaneous albinism due to abnormal melanosome formation, and prolonged bleeding due to deficiency of platelet dense body contents",UniProt,ASSOCIATED_WITH
16692,SYN:primary-ciliary-dyskinesia-pcd,"Defects in Dnah5 are the cause of primary ciliary dyskinesia (PCD). PCD is characterized by recurrent respiratory infections, situs inversus and ciliary immotility and hydrocephalus",UniProt,ASSOCIATED_WITH
16728,SYN:focal-retinal-dysplasia-and-degeneration-associated-with-a-shortening-of-inner-a,"Defects in Crb1 are a cause of focal retinal dysplasia and degeneration associated with a shortening of inner and outer segments. Affected mice produce a secreted truncated protein that lacks the single transmembrane and the intracellular domain, and develop irregularities at the outer limiting membrane and loss of photoreceptor cells",UniProt,ASSOCIATED_WITH
16751,SYN:digitation-anormale-dan-phenotype-this-mutation-is-the-consequence-of-a-retrovir,"Defects in Lrp4 are the cause of digitation anormale (dan) phenotype, this mutation is the consequence of a retroviral insertion. Dan mice shown growth retardation in 10-day-old mice dan/dan and polysyndactyly (PubMed:16517118). Defects in Lrp4 are the cause of malformed digits (mdig) phenotype. It is a spontaneous, autosomal recessive mutation resulting in polysyndactyly (PubMed:16517118)",UniProt,ASSOCIATED_WITH
16845,SYN:the-cocoa-coa-mutant-which-is-characterized-by-hypopigmentation-and-platelet-dys,"Defects in Hps3 are the cause of the cocoa (coa) mutant, which is characterized by hypopigmentation and platelet dysfunction (PubMed:11707070)",UniProt,ASSOCIATED_WITH
16854,SYN:wrinkle-free-wrfr-phenotype,"Defects in Slc27a4 are the cause of wrinkle-free (wrfr) phenotype. It is a spontaneous, autosomal recessive mutation resulting in very tight, thick skin and is secondary characterized by severe breathing difficulties. Mice die shortly after birth. This phenotype is similar to human restrictive dermopathy, a very rare human genetic disorder",UniProt,ASSOCIATED_WITH
16944,SYN:chronic-proliferative-dermatitis-cpdm,"Defects in Sharpin are the cause of chronic proliferative dermatitis (cpdm). Cpdm is a spontaneous mutation causing a chronic proliferative dermatitis phenotype, which is characterized histologically by severe inflammation, eosinophilic dermatitis and defects in secondary lymphoid organ development. Mice also display lower total and cortical bone mineral content and bone mineral density, trabecular and cortical bone volume, and trabecular number. TNF-induced NF-kappa-B activation is attenuated due to inability of the LUBAC complex to mediate linear ubiquitination",UniProt,ASSOCIATED_WITH
16971,SYN:the-pale-tremor-phenotype-which-is-a-multi-organ-disorder-with-neuronal-degenera,"Defects in Fig4 are the cause of the pale tremor phenotype which is a multi-organ disorder with neuronal degeneration in the central nervous system, peripheral neuronopathy and diluted pigmentation. At postnatal day three (P3), affected homozygotes have diluted pigmentation and reduced size. Intentional tremor develops during the second week after birth, and abnormal limb postures are evident by the third week. There is impaired motor coordination, muscle weakness and 'swimming' gait. There is progressive loss of mobility, reduction in body weight and juvenile lethality",UniProt,ASSOCIATED_WITH
17033,SYN:the-sandy-sdy-mutant-phenotype-a-model-for-human-hermansky-pudlak-syndrome-hps,"Defects in Dtnbp1 are the cause of the sandy (sdy) mutant phenotype, a model for human Hermansky-Pudlak syndrome (HPS). Sdy mice lack dysbindin expression; they have a characteristic sandy coat color and have much fewer melanosomes in the retinal pigment epithelium and choroid. They are fully viable, but present behavioral abnormalities. They have prolonged bleeding times due to platelet storage pool deficiency, and lysosomal storage defects. The number of electron-opaque platelet dense granules is severely reduced, and the platelet serotonin content is strongly reduced. Secretion of lysosomal enzymes from kidney and from thrombin-stimulated platelets is depressed 2- and 3-fold, and ceroid pigment is present in kidney. Sandy mice also display impaired long-term memory retention and working memory and schizophrenia-like behavioral abnormalities. Vesicle morphology and kinetics of transmitter release are affected in both neuroendocrine cells and hippocampal synapses, characterized by larger vesicle size, slower quantal release, fewer release events and reduced readily releasable pool (RRP). Expression levels of SYN1 are lower in both the cortex and the hippocampal formation (HF)",UniProt,ASSOCIATED_WITH
17235,SYN:propionic-acidemia-due-to-recessively-inherited-deficiency-of-pccase-activity-of,Propionic acidemia due to recessively inherited deficiency of PCCase activity often causes life-threatening ketosis and acidosis,UniProt,ASSOCIATED_WITH
17250,SYN:the-loop-tail-lp-mutant-phenotype,"Defects in Vangl2 are a cause of the loop-tail (Lp) mutant phenotype. Heterozygous Lp mice exhibit a characteristic looped tail, while homozygous embryos show a completely open neural tube in the hindbrain and spinal region, a condition similar to the severe craniorachischisis defect in humans. Homozygotes also have complex cardiovascular defects including double-outlet right ventricle, perimembranous ventricular defects, double-sided aortic arch and associated abnormalities in the aortic arch arteries. Homozygotes show cytoplasmic accumulation of Vangl2 instead of the normal membrane localization, and Rhoa expression, which is detected in the mesenchymal cushion cells adjacent to the outflow tract, is lost in homozygotes. Homozygous embryos typically die shortly before or at birth",UniProt,ASSOCIATED_WITH
17272,SYN:the-fatty-liver-dystrophy-phenotype-fld,"Defects in Lpin1 are the cause of the fatty liver dystrophy phenotype (fld). Fld mutant mice are characterized by neonatal fatty liver and hypertriglyceridemia that resolve at weaning, and neuropathy affecting peripheral nerve in adulthood. Adipose tissue deficiency, glucose intolerance and increased susceptibility to atherosclerosis are associated with this mutation too. Two independent mutant alleles are characterized in this phenotype, fld and fld2j",UniProt,ASSOCIATED_WITH
17277,SYN:light-damage-susceptibility-lds-of-the-retina,Defects in Rpe65 are the cause of light damage susceptibility (LDS) of the retina,UniProt,ASSOCIATED_WITH
17281,SYN:the-juvenile-cystic-kidney-disease-jck-phenotype-which-resembles-human-autosomal,"A spontaneous mutation in Nek8 is responsible for the juvenile cystic kidney disease (jck) phenotype, which resembles human autosomal recessive polycystic kidney disease. Affected mice have grossly enlarged, spongy-appearing kidney. Focal cysts are evident as early as three days of life. The disease is progressive, the mice are fertile and generally survive to four or more months of age",UniProt,ASSOCIATED_WITH
17307,SYN:impaired-testicular-descent-known-as-cryptorchidism,Defects in Rxfp2 seems to be a cause of impaired testicular descent (known as cryptorchidism),UniProt,ASSOCIATED_WITH
17495,SYN:constitutive-activation-and-subsequent-transactivation-of-target-genes-may-lead-,Constitutive activation and subsequent transactivation of target genes may lead to the maintenance of stem-cell characteristics (cycling and longevity) in cells that should normally undergo terminal differentiation and constitute the primary transforming event in colorectal cancer (CRC),UniProt,ASSOCIATED_WITH
